"Comparison","Top_GO_Terms"
"Basal_vs_LumA","mammary gland epithelium development; regulation of miRNA transcription; miRNA transcription; positive regulation of animal organ morphogenesis; mammary gland development"
"LumB_vs_LumA","regulation of cell division; positive regulation of cell cycle process; extracellular matrix assembly; elastic fiber assembly; extracellular matrix organization"
