"SYMBOL","GENENAME","ENSEMBL","log2FoldChange","padj","significant","Comparison"
"E2F8","E2F transcription factor 8","ENSG00000129173",1.66883897114339,6.95847580682125e-78,"Significant","LumB_vs_LumA"
"OSR1","odd-skipped related transcription factor 1","ENSG00000143867",-2.48950165565773,1.25199404518771e-76,"Significant","LumB_vs_LumA"
"UBE2C","ubiquitin conjugating enzyme E2 C","ENSG00000175063",1.58097548791047,1.99439562839494e-76,"Significant","LumB_vs_LumA"
"CCNE2","cyclin E2","ENSG00000175305",1.51998811093168,5.41454082644536e-76,"Significant","LumB_vs_LumA"
"KRT14","keratin 14","ENSG00000186847",-3.30022540592311,8.1011944990699e-73,"Significant","LumB_vs_LumA"
"KRT17","keratin 17","ENSG00000128422",-2.80074435518742,3.98434906210729e-70,"Significant","LumB_vs_LumA"
"TEX19","testis expressed 19","ENSG00000182459",3.11187765404121,2.66675740967902e-66,"Significant","LumB_vs_LumA"
"FAT2","FAT atypical cadherin 2","ENSG00000086570",-2.36602592596529,8.07278528720531e-65,"Significant","LumB_vs_LumA"
"IRX1","iroquois homeobox 1","ENSG00000170549",-2.4082471489487,3.70720437072396e-63,"Significant","LumB_vs_LumA"
"OLAH","oleoyl-ACP hydrolase","ENSG00000152463",7.64863966886193,1.63509168208576e-135,"Significant","Normal_vs_LumA"
"LINC02487","long intergenic non-protein coding RNA 2487","ENSG00000203688",4.94204854475996,2.10585387349921e-78,"Significant","Normal_vs_LumA"
"ACSBG1","acyl-CoA synthetase bubblegum family member 1","ENSG00000103740",3.56325118541274,3.68886168756194e-63,"Significant","Normal_vs_LumA"
"ACE2","angiotensin converting enzyme 2","ENSG00000130234",5.27573304384603,2.31655232628469e-53,"Significant","Normal_vs_LumA"
"FABP7","fatty acid binding protein 7","ENSG00000164434",6.5176287146076,3.53435966194989e-45,"Significant","Normal_vs_LumA"
"LINC01235","long intergenic non-protein coding RNA 1235","ENSG00000270547",3.39932537955044,7.86765630668019e-44,"Significant","Normal_vs_LumA"
"CA6","carbonic anhydrase 6","ENSG00000131686",6.28271275082871,3.50444350907484e-43,"Significant","Normal_vs_LumA"
"FZD9","frizzled class receptor 9","ENSG00000188763",3.52809607879451,8.22496944728835e-42,"Significant","Normal_vs_LumA"
"LINC01554","long intergenic non-protein coding RNA 1554","ENSG00000236882",3.97249061354629,1.1203128156235e-41,"Significant","Normal_vs_LumA"
"CAPN11","calpain 11","ENSG00000137225",2.51910742522021,5.10931585503641e-39,"Significant","Normal_vs_LumA"
"MOG","myelin oligodendrocyte glycoprotein","ENSG00000204655",6.02176944625474,1.98592020381427e-37,"Significant","Normal_vs_LumA"
"AKR1B15","aldo-keto reductase family 1 member B15","ENSG00000227471",4.64988777069196,6.66320502272194e-37,"Significant","Normal_vs_LumA"
"XDH","xanthine dehydrogenase","ENSG00000158125",3.79465965630225,4.15742562800366e-36,"Significant","Normal_vs_LumA"
"LALBA","lactalbumin alpha","ENSG00000167531",10.9325588303872,2.87945766002348e-35,"Significant","Normal_vs_LumA"
"FREM3","FRAS1 related extracellular matrix 3","ENSG00000183090",4.08066099655929,3.67414199222464e-34,"Significant","Normal_vs_LumA"
"SULT1B1","sulfotransferase family 1B member 1","ENSG00000173597",3.14171962840442,6.88023490149203e-34,"Significant","Normal_vs_LumA"
"CD180","CD180 molecule","ENSG00000134061",2.16404467055961,1.28425252776909e-33,"Significant","Normal_vs_LumA"
"DLK2","delta like non-canonical Notch ligand 2","ENSG00000171462",1.84711957911236,4.55450879209242e-33,"Significant","Normal_vs_LumA"
"LOXL4","lysyl oxidase like 4","ENSG00000138131",2.67938346866654,4.94610198833799e-33,"Significant","Normal_vs_LumA"
"TTYH1","tweety family member 1","ENSG00000167614",2.9901379807827,4.94610198833799e-33,"Significant","Normal_vs_LumA"
