"SYMBOL","GENENAME","ENSEMBL","log2FoldChange","padj","significant"
"NOVA1","NOVA alternative splicing regulator 1","ENSG00000139910",-3.80679287542486,4.22221062060929e-67,"Significant"
"LINC01285","long intergenic non-protein coding RNA 1285","ENSG00000203650",3.63610520306101,1.67571239645395e-66,"Significant"
"PROKR1","prokineticin receptor 1","ENSG00000169618",5.22845190653881,1.03841246764401e-65,"Significant"
"RERG","RAS like estrogen regulated growth inhibitor","ENSG00000134533",-2.5710770785597,3.0085367761937e-65,"Significant"
"HAAO","3-hydroxyanthranilate 3,4-dioxygenase","ENSG00000162882",2.38737158676447,3.35199222676121e-65,"Significant"
"SLC12A3","solute carrier family 12 member 3","ENSG00000070915",3.69836629371928,7.32300008075373e-65,"Significant"
"MAPT","microtubule associated protein tau","ENSG00000186868",-2.74879500156472,1.12109778605631e-64,"Significant"
"NEUROD2","neuronal differentiation 2","ENSG00000171532",4.4844154408384,2.15893896877822e-64,"Significant"
"OXER1","oxoeicosanoid receptor 1","ENSG00000162881",2.50203908100421,8.22232307432721e-64,"Significant"
"RBM24","RNA binding motif protein 24","ENSG00000112183",-4.19738584982337,3.02564595264181e-62,"Significant"
"PMAIP1","phorbol-12-myristate-13-acetate-induced protein 1","ENSG00000141682",-2.33986599852302,3.20984630910152e-62,"Significant"
"THSD4","thrombospondin type 1 domain containing 4","ENSG00000187720",-2.1748099437287,5.94494666093499e-62,"Significant"
"ACE2","angiotensin converting enzyme 2","ENSG00000130234",4.05494346392371,1.45145003193986e-61,"Significant"
"CDC6","cell division cycle 6","ENSG00000094804",2.33798660294803,1.98565957788708e-61,"Significant"
"IGF1R","insulin like growth factor 1 receptor","ENSG00000140443",-2.5345635927017,2.80023797629322e-61,"Significant"
"PI15","peptidase inhibitor 15","ENSG00000137558",-5.0008986407298,6.94495616732865e-61,"Significant"
"ZNF516","zinc finger protein 516","ENSG00000101493",-1.84735608475051,2.00359092135502e-60,"Significant"
"EPOP","elongin BC and polycomb repressive complex 2 associated protein","ENSG00000273604",2.46938683478406,2.87613997932219e-60,"Significant"
"NAT1","N-acetyltransferase 1","ENSG00000171428",-3.06004948127546,8.05494155174815e-60,"Significant"
"MFSD2A","MFSD2 lysolipid transporter A, lysophospholipid","ENSG00000168389",2.5959812703665,1.56476642487123e-59,"Significant"
"ADCY1","adenylate cyclase 1","ENSG00000164742",-3.33063020668452,1.7819666931237e-59,"Significant"
"CYP2A7","cytochrome P450 family 2 subfamily A member 7","ENSG00000198077",-6.49724978686364,1.91001836325899e-59,"Significant"
"ZP2","zona pellucida glycoprotein 2","ENSG00000103310",7.07668340382792,6.13406263044124e-59,"Significant"
"GLYATL2","glycine-N-acyltransferase like 2","ENSG00000156689",4.44912781973437,6.78930637992761e-59,"Significant"
"RLN2","relaxin 2","ENSG00000107014",-3.47077483208404,1.01209014381628e-58,"Significant"
"PEX5L","peroxisomal biogenesis factor 5 like","ENSG00000114757",-4.22683252980345,2.89239153743663e-58,"Significant"
"MAG","myelin associated glycoprotein","ENSG00000105695",-3.74602195992025,4.66512868448584e-58,"Significant"
"ANKS4B","ankyrin repeat and sterile alpha motif domain containing 4B","ENSG00000175311",5.0595067851708,6.22638297903921e-58,"Significant"
"CST5","cystatin D","ENSG00000170367",-6.72411390746354,1.25364823193114e-57,"Significant"
"FGD3","FYVE, RhoGEF and PH domain containing 3","ENSG00000127084",-2.33933087816956,1.36802110245906e-57,"Significant"
"LINC00624","long intergenic non-protein coding RNA 624","ENSG00000278811",2.65289023168107,1.72096054061879e-57,"Significant"
