"SYMBOL","GENENAME","ENSEMBL","log2FoldChange","padj","significant"
"TP63","tumor protein p63","ENSG00000073282",-2.00576521578085,4.06444636245611e-45,"Significant"
"PTX3","pentraxin 3","ENSG00000163661",-1.98387197811385,5.25970056426309e-45,"Significant"
"SMC1B","structural maintenance of chromosomes 1B","ENSG00000077935",1.939518441062,5.37560918205631e-45,"Significant"
"FAM107A","family with sequence similarity 107 member A","ENSG00000168309",-1.74781804609444,5.82042724876401e-45,"Significant"
"CLDN5","claudin 5","ENSG00000184113",-1.54407129701487,9.88732397912917e-45,"Significant"
"AVPR2","arginine vasopressin receptor 2","ENSG00000126895",-1.57751321672843,1.42640903599478e-44,"Significant"
"CBX2","chromobox 2","ENSG00000173894",1.55572140061223,3.01528945923992e-44,"Significant"
"GPIHBP1","glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1","ENSG00000277494",-1.63872141086227,3.03699342662856e-44,"Significant"
"TACR1","tachykinin receptor 1","ENSG00000115353",-1.85202310254533,4.18513422912001e-44,"Significant"
"EDN3","endothelin 3","ENSG00000124205",-3.2190719966898,8.23753892017389e-44,"Significant"
"CLDN11","claudin 11","ENSG00000013297",-1.53383768459142,1.05989964196718e-43,"Significant"
"ROPN1","rhophilin associated tail protein 1","ENSG00000065371",-2.68211437857272,1.28460984744633e-43,"Significant"
"SLC7A14-AS1","SLC7A14 antisense RNA 1","ENSG00000285051",-2.38418255865701,2.58769633365754e-43,"Significant"
"TRIM29","tripartite motif containing 29","ENSG00000137699",-1.88974217712799,9.67619240776955e-43,"Significant"
"DDN","dendrin","ENSG00000181418",1.83907192404964,9.67619240776955e-43,"Significant"
"SMYD1","SET and MYND domain containing 1","ENSG00000115593",-3.00001099389477,2.23099816605301e-42,"Significant"
"ANXA8L1","annexin A8 like 1","ENSG00000264230",-2.19124307098844,3.37506380740934e-42,"Significant"
"SPMIP8","sperm microtubule inner protein 8","ENSG00000159648",-2.11320469899898,5.10369804893378e-42,"Significant"
