"SYMBOL","GENENAME","ENSEMBL","log2FoldChange","padj","significant"
"DRAIC","downregulated RNA in cancer, inhibitor of cell invasion and migration","ENSG00000245750",-4.36668296170807,8.0728695356051e-282,"Significant"
"SUV39H2","SUV39H2 histone lysine methyltransferase","ENSG00000152455",1.66733297378278,3.35643967905978e-280,"Significant"
"NEK10","NIMA related kinase 10","ENSG00000163491",-4.91430571794098,2.60735056452021e-279,"Significant"
"SIDT1","SID1 transmembrane family member 1","ENSG00000072858",-3.07865870771089,2.11951588244014e-278,"Significant"
"SLC44A4","solute carrier family 44 member 4","ENSG00000204385",-4.22946769788696,7.4407136635056e-278,"Significant"
"FAM171A1","family with sequence similarity 171 member A1","ENSG00000148468",2.6377886765642,2.9548700661718e-277,"Significant"
"WWP1-AS1","WWP1 antisense RNA 1","ENSG00000254231",-3.25897708073377,3.77920627066374e-275,"Significant"
"F7","coagulation factor VII","ENSG00000057593",-5.11690419674227,4.95051483449258e-274,"Significant"
"NOSTRIN","nitric oxide synthase trafficking","ENSG00000163072",-3.02088504660206,1.69339780298451e-273,"Significant"
"BCAS1","brain enriched myelin associated protein 1","ENSG00000064787",-4.79643948694567,4.15538766767318e-272,"Significant"
"KCNJ11","potassium inwardly rectifying channel subfamily J member 11","ENSG00000187486",-3.07907750216305,9.47897842521812e-271,"Significant"
"SMIM14","small integral membrane protein 14","ENSG00000163683",-2.0470858609507,1.91723835651793e-269,"Significant"
"ZMYND10","zinc finger MYND-type containing 10","ENSG00000004838",-3.63031889139211,4.60671394513317e-269,"Significant"
