"SYMBOL","GENENAME","ENSEMBL","log2FoldChange","padj","significant"
"APCDD1L","APC down-regulated 1 like","ENSG00000198768",2.76113519211761,3.92555172525348e-25,"Significant"
"IL1R2","interleukin 1 receptor type 2","ENSG00000115590",2.64417472424257,4.76274236143261e-25,"Significant"
"BPI","bactericidal permeability increasing protein","ENSG00000101425",3.40807892523372,4.86804381785623e-25,"Significant"
"NCMAP","non-compact myelin associated protein","ENSG00000184454",3.19739911097548,5.72231273605732e-25,"Significant"
"MAML2","mastermind like transcriptional coactivator 2","ENSG00000184384",1.51925081942179,1.22061178921708e-24,"Significant"
"PI3","peptidase inhibitor 3","ENSG00000124102",4.71373141788095,1.64397068408558e-24,"Significant"
"CGA","glycoprotein hormones, alpha polypeptide","ENSG00000135346",-6.59103256727447,1.97116179698184e-24,"Significant"
"ZNF552","zinc finger protein 552","ENSG00000178935",-1.55428037950877,2.03403937940237e-24,"Significant"
"KLHL34","kelch like family member 34","ENSG00000185915",3.51536230888592,2.03403937940237e-24,"Significant"
"LINC00092","long intergenic non-protein coding RNA 92","ENSG00000225194",2.59810241580792,2.03704974356631e-24,"Significant"
"NKPD1","NTPase KAP family P-loop domain containing 1","ENSG00000179846",2.15980072819495,2.88981679209305e-24,"Significant"
"IL22RA2","interleukin 22 receptor subunit alpha 2","ENSG00000164485",3.54901752055909,1.03424999648343e-23,"Significant"
"LINC01511","long intergenic non-protein coding RNA 1511","ENSG00000250584",3.38065964283332,1.03424999648343e-23,"Significant"
"DOK5","docking protein 5","ENSG00000101134",1.82102136050263,1.07331148562769e-23,"Significant"
"GABRP","gamma-aminobutyric acid type A receptor subunit pi","ENSG00000094755",3.40602295629857,1.08842654374844e-23,"Significant"
"SLC39A6","solute carrier family 39 member 6","ENSG00000141424",-2.15327256487368,1.20144006838424e-23,"Significant"
"LOC112694756","uncharaterized LOC112694756","ENSG00000285043",-1.60924047395894,1.27842088333867e-23,"Significant"
"PTN","pleiotrophin","ENSG00000105894",2.96111668693037,1.4783007226412e-23,"Significant"
"RARRES1","retinoic acid receptor responder 1","ENSG00000118849",2.77504077134725,2.71202778103437e-23,"Significant"
"CNGB1","cyclic nucleotide gated channel subunit beta 1","ENSG00000070729",3.19069609736271,3.3692575872647e-23,"Significant"
"LANCL3","LanC like family member 3","ENSG00000147036",1.8962941862,4.32176884701781e-23,"Significant"
"HAPLN3","hyaluronan and proteoglycan link protein 3","ENSG00000140511",1.80749060936168,4.7802987440683e-23,"Significant"
"DEFB1","defensin beta 1","ENSG00000164825",3.50909758775467,9.68607329223564e-23,"Significant"
"PARD6B","par-6 family cell polarity regulator beta","ENSG00000124171",-2.14380112598451,1.01095166510731e-22,"Significant"
"DPP6","dipeptidyl peptidase like 6","ENSG00000130226",3.55335626135974,1.01095166510731e-22,"Significant"
"LINC02188","long intergenic non-protein coding RNA 2188","ENSG00000261175",3.65850961902464,1.01095166510731e-22,"Significant"
"CHRDL2","chordin like 2","ENSG00000054938",3.41742260985896,1.19729014971934e-22,"Significant"
"TESMIN","testis expressed metallothionein like protein","ENSG00000132749",-1.65239892356174,1.33437684465162e-22,"Significant"
"PDE1C","phosphodiesterase 1C","ENSG00000154678",2.18078575320916,1.33437684465162e-22,"Significant"
"DMD","dystrophin","ENSG00000198947",1.98253844603934,1.59915569060245e-22,"Significant"
"EPHB1","EPH receptor B1","ENSG00000154928",1.96816296185256,2.0837713793213e-22,"Significant"
"EMILIN3","elastin microfibril interfacer 3","ENSG00000183798",3.55625417449636,2.67487358696619e-22,"Significant"
