"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048754","branching morphogenesis of an epithelial tube","5/62","166/18860",0.0301204819277108,9.16245627671978,6.0662896809422,0.000214623543041375,0.0112140801239118,0.00930506018843856,"SOX8/PGR/ESR1/FOXA1/AR",5
"GO:0002067","glandular epithelial cell differentiation","3/62","36/18860",0.0833333333333333,25.3494623655914,8.39815763440903,0.000223566580766853,0.0113273734255205,0.00939906709571648,"PGR/XBP1/FOXA1",3
"GO:0048863","stem cell differentiation","6/62","265/18860",0.0226415094339623,6.88740109555691,5.54303757174394,0.000231283092054369,0.0113736861739678,0.00943749583057765,"SOX8/FOXC1/ESR1/FOXA1/TTYH1/ERBB4",6
"GO:0033146","regulation of intracellular estrogen receptor signaling pathway","3/62","38/18860",0.0789473684210526,24.0152801358234,8.15594956512863,0.00026291330555717,0.0122108624136552,0.0101321560445716,"FOXA1/SRARP/AR",3
"GO:1905332","positive regulation of morphogenesis of an epithelium","3/62","38/18860",0.0789473684210526,24.0152801358234,8.15594956512863,0.00026291330555717,0.0122108624136552,0.0101321560445716,"SOX8/GATA3/AR",3
"GO:0071695","anatomical structure maturation","6/62","287/18860",0.0209059233449477,6.3594470046083,5.2543530711509,0.000354479311477141,0.016018632669994,0.0132917135854018,"SOX8/PGR/XBP1/GATA3/ROPN1B/FOXA1",6
"GO:0007548","sex differentiation","6/62","297/18860",0.0202020202020202,6.14532420984034,5.13294061540423,0.000425186380965477,0.018708200762481,0.0155234252108725,"SOX8/FOXC1/PGR/ESR1/GATA3/AR",6
"GO:0048483","autonomic nervous system development","3/62","46/18860",0.0652173913043478,19.8387096774194,7.34664156604179,0.000464324812161144,0.0196642996155082,0.0163167633425081,"SOX8/GATA3/GFRA3",3
"GO:0002069","columnar/cuboidal epithelial cell maturation","2/62","10/18860",0.2,60.8387096774194,10.8699086725005,0.000470437789844695,0.0196642996155082,0.0163167633425081,"PGR/XBP1",2
"GO:0061138","morphogenesis of a branching epithelium","5/62","199/18860",0.0251256281407035,7.6430539795753,5.41036064726563,0.000494155865074819,0.0199794297495164,0.0165782475509082,"SOX8/PGR/ESR1/FOXA1/AR",5
"GO:0001701","in utero embryonic development","7/62","429/18860",0.0163170163170163,4.96353109256335,4.76909329470854,0.000501875627679239,0.0199794297495164,0.0165782475509082,"SOX8/FOXC1/GATA3/TTLL4/AR/POU5F1/SMIM14",7
"GO:0060443","mammary gland morphogenesis","3/62","49/18860",0.0612244897959184,18.62409479921,7.09411575952639,0.000559614355818299,0.0213184508103367,0.0176893214354217,"PGR/ESR1/AR",3
"GO:0060525","prostate glandular acinus development","2/62","11/18860",0.181818181818182,55.307917888563,10.3470057499116,0.000573762133053321,0.0213184508103367,0.0176893214354217,"ESR1/FOXA1",2
"GO:2000679","positive regulation of transcription regulatory region DNA binding","2/62","11/18860",0.181818181818182,55.307917888563,10.3470057499116,0.000573762133053321,0.0213184508103367,0.0176893214354217,"FOXC1/GATA3",2
"GO:0030850","prostate gland development","3/62","51/18860",0.0588235294117647,17.8937381404175,6.93788896999383,0.00062959375263711,0.0225246961416586,0.0186902225602531,"ESR1/FOXA1/AR",3
"GO:0141193","nuclear receptor-mediated signaling pathway","5/62","211/18860",0.023696682464455,7.20837792386485,5.20823955420768,0.000644478677901007,0.0225246961416586,0.0186902225602531,"PGR/ESR1/FOXA1/SRARP/AR",5
"GO:0001763","morphogenesis of a branching structure","5/62","214/18860",0.0233644859813084,7.10732589689478,5.16017576073286,0.000686899598977391,0.0225246961416586,0.0186902225602531,"SOX8/PGR/ESR1/FOXA1/AR",5
"GO:0002068","glandular epithelial cell development","2/62","12/18860",0.166666666666667,50.6989247311828,9.89018308936431,0.000687057119153463,0.0225246961416586,0.0186902225602531,"PGR/XBP1",2
"GO:0060736","prostate gland growth","2/62","12/18860",0.166666666666667,50.6989247311828,9.89018308936431,0.000687057119153463,0.0225246961416586,0.0186902225602531,"ESR1/AR",2
"GO:0060742","epithelial cell differentiation involved in prostate gland development","2/62","12/18860",0.166666666666667,50.6989247311828,9.89018308936431,0.000687057119153463,0.0225246961416586,0.0186902225602531,"FOXA1/AR",2
"GO:0060688","regulation of morphogenesis of a branching structure","3/62","55/18860",0.0545454545454545,16.5923753665689,6.65053080693131,0.000785776239263158,0.0252657283086154,0.0209646373147539,"SOX8/ESR1/AR",3
"GO:0071383","cellular response to steroid hormone stimulus","5/62","222/18860",0.0225225225225225,6.85120604475443,5.03641579819636,0.000810265113952564,0.0255615711420507,0.0212101175807245,"PGR/ESR1/FOXA1/SRARP/AR",5
"GO:1902895","positive regulation of miRNA transcription","3/62","56/18860",0.0535714285714286,16.2960829493088,6.5833731925136,0.000828317738921075,0.0256471714717785,0.0212811458069781,"GATA3/FOXA1/AR",3
"GO:0060562","epithelial tube morphogenesis","6/62","344/18860",0.0174418604651163,5.30570142535634,4.62859197893541,0.000917478136330701,0.0278913353444533,0.0231432762427534,"SOX8/PGR/ESR1/GATA3/FOXA1/AR",6
"GO:0060135","maternal process involved in female pregnancy","3/62","60/18860",0.05,15.2096774193548,6.3311160148636,0.00101304472843923,0.0302466211776856,0.0250976118812576,"PGR/ESR1/AR",3
"GO:0009755","hormone-mediated signaling pathway","5/62","237/18860",0.0210970464135021,6.41758540901048,4.82008248740896,0.00108529165560839,0.031835221897846,0.0264157784319826,"PGR/ESR1/FOXA1/SRARP/AR",5
"GO:0021700","developmental maturation","6/62","364/18860",0.0164835164835165,5.01417936901808,4.44127750762267,0.00122705770221507,0.0353731116914413,0.0293513983941826,"SOX8/PGR/XBP1/GATA3/ROPN1B/FOXA1",6
"GO:2000630","positive regulation of miRNA metabolic process","3/62","65/18860",0.0461538461538462,14.0397022332506,6.04787128858611,0.00127810083970436,0.0362200780336559,0.0300541821004523,"GATA3/FOXA1/AR",3
