"sample_id","total_counts","detected_genes"
"TCGA-A2-A259-01A-11R-A16F-07",65811535,30529
"TCGA-A2-A25A-01A-12R-A16F-07",90726671,31712
"TCGA-A2-A25B-01A-11R-A169-07",61057977,29423
"TCGA-A2-A25C-01A-11R-A169-07",91025616,31000
"TCGA-A2-A25D-01A-12R-A16F-07",62770810,29465
"TCGA-A2-A25E-01A-11R-A169-07",63060253,29976
"TCGA-A2-A25F-01A-11R-A169-07",83290234,30440
"TCGA-A2-A3KC-01A-11R-A213-07",54002970,30417
"TCGA-A2-A3KD-01A-12R-A213-07",67289521,30118
"TCGA-A2-A3XS-01A-11R-A22U-07",62136070,30502
"TCGA-A2-A3XT-01A-11R-A22U-07",66952523,29921
"TCGA-A2-A3XU-01A-12R-A22U-07",59996384,26790
"TCGA-A2-A3XV-01A-21R-A239-07",62018270,25782
"TCGA-A2-A3XW-01A-11R-A239-07",63716788,28108
"TCGA-A2-A3XX-01A-21R-A239-07",62545298,29887
"TCGA-A2-A3XY-01A-11R-A239-07",78015869,30898
"TCGA-A2-A3XZ-01A-42R-A239-07",60025181,30186
"TCGA-A2-A3Y0-01A-11R-A239-07",64130285,29663
"TCGA-A2-A4RW-01A-21R-A266-07",32120595,29443
"TCGA-A2-A4RX-01A-11R-A266-07",34105070,29474
"TCGA-A2-A4RY-01A-31R-A266-07",38588008,30471
"TCGA-A2-A4S0-01A-21R-A266-07",37264271,27612
"TCGA-A2-A4S1-01A-21R-A266-07",34028677,27017
"TCGA-A2-A4S2-01A-12R-A266-07",38005816,29106
"TCGA-A2-A4S3-01A-21R-A266-07",36267106,28841
"TCGA-A7-A0CD-01A-11R-A00Z-07",70166024,29314
"TCGA-A7-A0CE-01A-11R-A00Z-07",61504727,29653
"TCGA-A7-A0CG-01A-12R-A056-07",55091291,29791
"TCGA-A7-A0CH-01A-21R-A00Z-07",45513968,28800
"TCGA-A7-A0CJ-01A-21R-A00Z-07",51585982,28478
"TCGA-A7-A0D9-01A-31R-A056-07",53346501,30461
"TCGA-A7-A0DA-01A-31R-A115-07",63231963,29967
"TCGA-A7-A0DB-01A-11R-A00Z-07",59272571,30049
"TCGA-A7-A0DC-01A-11R-A00Z-07",61764845,31669
"TCGA-A7-A13D-01A-13R-A12P-07",57786261,29038
"TCGA-A7-A13E-01A-11R-A12P-07",47110822,28634
"TCGA-A7-A13F-01A-11R-A12P-07",52674518,28101
"TCGA-A7-A13G-01A-11R-A13Q-07",67637377,31252
"TCGA-A7-A13H-01A-11R-A22K-07",59732156,30931
"TCGA-A7-A26E-01A-11R-A169-07",78818240,30792
"TCGA-A7-A26F-01A-21R-A169-07",75562665,33306
"TCGA-A7-A26G-01A-21R-A169-07",86971476,30870
"TCGA-A7-A26H-01A-11R-A169-07",85969362,31216
"TCGA-A7-A26I-01A-11R-A169-07",93809085,33424
"TCGA-A7-A26J-01A-11R-A169-07",71864076,30760
"TCGA-A7-A2KD-01A-31R-A21T-07",73812549,31082
"TCGA-A7-A3IY-01A-21R-A21T-07",57946751,29581
"TCGA-A7-A3IZ-01A-11R-A213-07",58711162,29339
"TCGA-A7-A3J0-01A-11R-A213-07",79514355,29996
"TCGA-A7-A3J1-01A-11R-A213-07",72993975,31241
"TCGA-A7-A3RF-01A-11R-A22K-07",65180274,28649
"TCGA-A7-A425-01A-11R-A24H-07",54053004,29817
"TCGA-A7-A426-01A-22R-A24H-07",69277673,31177
"TCGA-A7-A4SA-01A-11R-A266-07",37847178,29449
"TCGA-A7-A4SB-01A-21R-A266-07",36759953,28366
"TCGA-A7-A4SC-01A-12R-A266-07",35371245,29565
"TCGA-A7-A4SD-01A-11R-A266-07",41969048,29372
"TCGA-A7-A4SE-01A-11R-A266-07",34169445,29167
"TCGA-A7-A4SF-01A-11R-A266-07",34020950,27674
"TCGA-A7-A56D-01A-11R-A27Q-07",39756838,25195
"TCGA-A7-A5ZV-01A-11R-A28M-07",34322673,27304
"TCGA-A7-A5ZW-01A-12R-A29R-07",46028125,29009
"TCGA-A7-A5ZX-01A-12R-A29R-07",48087484,30199
"TCGA-A7-A6VV-01A-22R-A33J-07",57492336,29676
"TCGA-A7-A6VW-01A-21R-A33J-07",48959503,28987
"TCGA-A7-A6VX-01A-12R-A33J-07",50030253,30209
"TCGA-A7-A6VY-01A-12R-A33J-07",62217575,30023
"TCGA-A8-A06N-01A-11R-A00Z-07",88423668,29453
"TCGA-A8-A06O-01A-11R-A00Z-07",67366808,30564
"TCGA-A8-A06P-01A-11R-A00Z-07",65304158,29875
"TCGA-A8-A06Q-01A-11R-A034-07",86329065,29855
"TCGA-A8-A06R-01A-11R-A00Z-07",59107833,27241
"TCGA-A8-A06T-01A-11R-A00Z-07",73099489,30180
"TCGA-A8-A06U-01A-11R-A00Z-07",54700828,29678
"TCGA-A8-A06X-01A-21R-A00Z-07",39357504,26817
"TCGA-A8-A06Y-01A-21R-A00Z-07",48085094,27543
"TCGA-A8-A06Z-01A-11R-A00Z-07",88945568,29092
"TCGA-A8-A075-01A-11R-A084-07",58374198,29334
"TCGA-A8-A076-01A-21R-A00Z-07",70758858,30560
"TCGA-A8-A079-01A-21R-A00Z-07",65454242,29240
"TCGA-A8-A07B-01A-11R-A00Z-07",26580334,24406
"TCGA-A8-A07C-01A-11R-A034-07",81485629,30276
"TCGA-A8-A07E-01A-11R-A034-07",71840419,30050
"TCGA-A8-A07F-01A-11R-A00Z-07",68216747,30410
"TCGA-A8-A07G-01A-11R-A034-07",67849569,30320
"TCGA-A8-A07I-01A-11R-A00Z-07",47573857,28456
"TCGA-A8-A07J-01A-11R-A00Z-07",43095118,27864
"TCGA-A8-A07L-01A-11R-A00Z-07",55816525,28744
"TCGA-A8-A07O-01A-11R-A00Z-07",73102286,28911
"TCGA-A8-A07P-01A-11R-A00Z-07",62285974,28962
"TCGA-A8-A07R-01A-21R-A034-07",70774675,28881
"TCGA-A8-A07S-01A-11R-A034-07",59075444,28907
"TCGA-A8-A07U-01A-11R-A034-07",57607313,29773
"TCGA-A8-A07W-01A-11R-A00Z-07",62593031,29238
"TCGA-A8-A07Z-01A-11R-A00Z-07",40423709,27222
"TCGA-A8-A081-01A-11R-A00Z-07",75364915,30995
"TCGA-A8-A082-01A-11R-A00Z-07",51451022,28480
"TCGA-A8-A083-01A-21R-A00Z-07",69446500,27766
"TCGA-A8-A084-01A-21R-A00Z-07",52475846,28704
"TCGA-A8-A086-01A-11R-A00Z-07",70783504,30261
"TCGA-A8-A08A-01A-11R-A32Y-07",56210857,29264
"TCGA-A8-A08B-01A-11R-A00Z-07",23460771,24065
"TCGA-A8-A08C-01A-11R-A00Z-07",58830473,28847
"TCGA-A8-A08F-01A-11R-A00Z-07",47641469,28666
"TCGA-A8-A08G-01A-11R-A00Z-07",72714885,32399
"TCGA-A8-A08H-01A-21R-A00Z-07",47715549,28449
"TCGA-A8-A08I-01A-11R-A00Z-07",96759812,31270
"TCGA-A8-A08J-01A-11R-A00Z-07",66011146,30334
"TCGA-A8-A08L-01A-11R-A00Z-07",64395302,30694
"TCGA-A8-A08O-01A-21R-A056-07",45469904,29108
"TCGA-A8-A08P-01A-11R-A00Z-07",48373148,26430
"TCGA-A8-A08R-01A-11R-A034-07",69181066,30392
"TCGA-A8-A08S-01A-11R-A034-07",67085679,29996
"TCGA-A8-A08T-01A-21R-A00Z-07",61751480,30156
"TCGA-A8-A08X-01A-21R-A00Z-07",45349141,28247
"TCGA-A8-A08Z-01A-21R-A00Z-07",60744210,29256
"TCGA-A8-A090-01A-11R-A00Z-07",50292306,28042
"TCGA-A8-A091-01A-11R-A00Z-07",89749331,30615
"TCGA-A8-A092-01A-11R-A00Z-07",69221468,29772
"TCGA-A8-A093-01A-11R-A00Z-07",64073291,29074
"TCGA-A8-A094-01A-11R-A00Z-07",32715031,27454
"TCGA-A8-A095-01A-11R-A00Z-07",55033992,29581
"TCGA-A8-A096-01A-11R-A00Z-07",96365507,29791
"TCGA-A8-A097-01A-11R-A034-07",81218724,31021
"TCGA-A8-A099-01A-11R-A00Z-07",66842245,27610
"TCGA-A8-A09A-01A-11R-A00Z-07",46771997,29087
"TCGA-A8-A09B-01A-11R-A00Z-07",59733472,30155
"TCGA-A8-A09C-01A-11R-A00Z-07",61212575,30322
"TCGA-A8-A09D-01A-11R-A00Z-07",55348360,29436
"TCGA-A8-A09E-01A-11R-A00Z-07",51104407,28263
"TCGA-A8-A09G-01A-21R-A00Z-07",71471116,29524
"TCGA-A8-A09I-01A-22R-A034-07",104157856,30429
"TCGA-A8-A09K-01A-11R-A00Z-07",48287921,28528
"TCGA-A8-A09M-01A-11R-A00Z-07",57745154,28124
"TCGA-A8-A09N-01A-11R-A00Z-07",44402162,27836
"TCGA-A8-A09Q-01A-11R-A00Z-07",70918249,30090
"TCGA-A8-A09R-01A-11R-A00Z-07",71099574,30055
"TCGA-A8-A09T-01A-11R-A00Z-07",23743310,24368
"TCGA-A8-A09V-01A-11R-A034-07",73124853,31136
