"sample_id","total_counts","detected_genes"
"TCGA-AR-A24T-01A-11R-A169-07",63602086,30252
"TCGA-AR-A24U-01A-11R-A169-07",65512262,30152
"TCGA-AR-A24V-01A-21R-A169-07",72587243,30098
"TCGA-AR-A24W-01A-11R-A169-07",56733364,30764
"TCGA-AR-A24X-01A-11R-A169-07",38960932,27822
"TCGA-AR-A24Z-01A-11R-A169-07",87593447,30663
"TCGA-AR-A250-01A-31R-A169-07",78794727,30260
"TCGA-AR-A251-01A-12R-A169-07",103888723,31872
"TCGA-AR-A252-01A-11R-A169-07",71488338,30915
"TCGA-AR-A254-01A-21R-A169-07",78410019,30460
"TCGA-AR-A255-01A-11R-A169-07",64418048,30926
"TCGA-AR-A256-01A-11R-A169-07",66749298,29583
"TCGA-AR-A2LE-01A-11R-A180-07",49623123,29051
"TCGA-AR-A2LH-01A-31R-A18M-07",37287163,28913
"TCGA-AR-A2LJ-01A-12R-A19W-07",55978570,29011
"TCGA-AR-A2LK-01A-11R-A180-07",65804658,30225
"TCGA-AR-A2LL-01A-11R-A180-07",56395487,29789
"TCGA-AR-A2LM-01A-11R-A180-07",68383704,31091
"TCGA-AR-A2LN-01A-21R-A18M-07",37382875,30549
"TCGA-AR-A2LO-01A-31R-A18M-07",37320712,29971
"TCGA-AR-A2LQ-01A-22R-A18M-07",49638536,29705
"TCGA-AR-A2LR-01A-12R-A18M-07",42851516,30027
"TCGA-AR-A5QM-01A-11R-A27Q-07",45382027,29885
"TCGA-AR-A5QN-01A-12R-A28M-07",61930364,30036
"TCGA-AR-A5QP-01A-11R-A28M-07",47500358,29546
"TCGA-AR-A5QQ-01A-11R-A28M-07",45776067,27871
"TCGA-B6-A0I1-01A-11R-A21T-07",67778773,29930
"TCGA-B6-A0I2-01A-11R-A034-07",53718159,28696
"TCGA-B6-A0I5-01A-11R-A034-07",46213679,28137
"TCGA-B6-A0I6-01A-11R-A034-07",44688419,29384
"TCGA-B6-A0I8-01A-11R-A034-07",67471113,29567
"TCGA-B6-A0I9-01A-11R-A034-07",66872196,30028
"TCGA-B6-A0IA-01A-11R-A034-07",62734761,26582
"TCGA-B6-A0IB-01A-11R-A034-07",62414008,29174
"TCGA-B6-A0IC-01A-11R-A034-07",75610331,29048
"TCGA-B6-A0IE-01A-11R-A034-07",68715379,29497
"TCGA-B6-A0IG-01A-11R-A034-07",70499896,29856
"TCGA-B6-A0IH-01A-11R-A115-07",40130169,29565
"TCGA-B6-A0IJ-01A-11R-A034-07",78324286,29485
"TCGA-B6-A0IK-01A-12R-A056-07",35148384,26693
"TCGA-B6-A0IM-01A-11R-A034-07",78811406,29610
"TCGA-B6-A0IN-01A-11R-A034-07",61730514,28897
"TCGA-B6-A0IO-01A-11R-A034-07",66010767,30208
"TCGA-B6-A0IP-01A-11R-A034-07",71155887,30417
"TCGA-B6-A0IQ-01A-11R-A034-07",74224737,30745
"TCGA-B6-A0RE-01A-11R-A056-07",52692712,28926
"TCGA-B6-A0RG-01A-11R-A056-07",41437237,27828
"TCGA-B6-A0RH-01A-21R-A115-07",69464600,29069
"TCGA-B6-A0RI-01A-11R-A056-07",64434261,29548
"TCGA-B6-A0RL-01A-11R-A084-07",60773049,29551
"TCGA-B6-A0RM-01A-11R-A084-07",57271762,29110
"TCGA-B6-A0RN-01A-12R-A084-07",50219095,28532
"TCGA-B6-A0RO-01A-22R-A084-07",65360027,27869
"TCGA-B6-A0RP-01A-21R-A084-07",69567992,29644
"TCGA-B6-A0RQ-01A-11R-A115-07",64069871,28135
"TCGA-B6-A0RS-01A-11R-A084-07",69241916,29254
"TCGA-B6-A0RT-01A-21R-A084-07",61594489,30961
"TCGA-B6-A0RU-01A-11R-A084-07",55079207,28492
"TCGA-B6-A0RV-01A-11R-A084-07",47407874,29380
"TCGA-B6-A0WS-01A-11R-A115-07",58075746,29477
"TCGA-B6-A0WT-01A-11R-A109-07",31808445,28503
"TCGA-B6-A0WV-01A-11R-A109-07",41652547,28148
"TCGA-B6-A0WW-01A-11R-A109-07",36668785,27035
"TCGA-B6-A0WX-01A-11R-A109-07",57372861,29399
"TCGA-B6-A0WY-01A-11R-A109-07",60174285,29044
"TCGA-B6-A0WZ-01A-11R-A109-07",56308938,27951
"TCGA-B6-A0X0-01A-21R-A115-07",31799315,26116
"TCGA-B6-A0X1-01A-11R-A109-07",35002197,28460
"TCGA-B6-A0X4-01A-11R-A109-07",38127138,27914
"TCGA-B6-A0X5-01A-21R-A109-07",41191979,27219
"TCGA-B6-A0X7-01A-11R-A10J-07",61418049,29785
"TCGA-B6-A1KC-01B-11R-A157-07",74740872,29473
"TCGA-B6-A1KF-01A-11R-A13Q-07",46132830,28000
"TCGA-B6-A1KI-01A-11R-A14M-07",74266315,30053
"TCGA-B6-A1KN-01A-11R-A13Q-07",72316470,30390
"TCGA-B6-A2IU-01A-32R-A18M-07",26772579,27889
"TCGA-B6-A3ZX-01A-11R-A239-07",61567010,30786
"TCGA-B6-A400-01A-11R-A239-07",70445011,30611
"TCGA-B6-A401-01A-11R-A239-07",61528358,30856
"TCGA-B6-A402-01A-11R-A239-07",55791766,29928
"TCGA-B6-A408-01A-12R-A24H-07",60220815,30945
"TCGA-B6-A409-01A-11R-A24H-07",67893260,28780
"TCGA-B6-A40B-01A-11R-A239-07",66221509,29633
"TCGA-B6-A40C-01A-11R-A239-07",73389522,30182
"TCGA-BH-A0AU-01A-11R-A12P-07",48251974,29498
"TCGA-BH-A0AV-01A-31R-A115-07",67693837,29046
"TCGA-BH-A0AW-01A-11R-A056-07",40407533,27574
"TCGA-BH-A0AY-01A-21R-A00Z-07",52429309,25765
"TCGA-BH-A0AZ-01A-21R-A12P-07",49044993,28629
"TCGA-BH-A0B0-01A-21R-A115-07",54585660,28374
"TCGA-BH-A0B1-01A-12R-A056-07",59161073,29142
"TCGA-BH-A0B2-01A-11R-A10J-07",51674857,29687
"TCGA-BH-A0B3-01A-11R-A056-07",57968063,29126
"TCGA-BH-A0B5-01A-11R-A12P-07",57008529,30134
"TCGA-BH-A0B6-01A-11R-A19W-07",54195593,27388
"TCGA-BH-A0B7-01A-12R-A115-07",58822959,29991
"TCGA-BH-A0B8-01A-21R-A056-07",45881459,28065
"TCGA-BH-A0B9-01A-11R-A056-07",93421818,30624
"TCGA-BH-A0BA-01A-11R-A056-07",55455858,30329
"TCGA-BH-A0BC-01A-22R-A084-07",67578846,29703
"TCGA-BH-A0BD-01A-11R-A034-07",65206976,30390
"TCGA-BH-A0BF-01A-21R-A12P-07",58017218,29887
"TCGA-BH-A0BG-01A-11R-A115-07",68768083,29915
"TCGA-BH-A0BJ-01A-11R-A056-07",55480796,28924
"TCGA-BH-A0BL-01A-11R-A115-07",68309857,31119
"TCGA-BH-A0BM-01A-11R-A056-07",36529879,27861
"TCGA-BH-A0BO-01A-23R-A12D-07",62338638,29881
"TCGA-BH-A0BP-01A-11R-A115-07",40999332,28520
"TCGA-BH-A0BQ-01A-21R-A115-07",44633593,28000
"TCGA-BH-A0BR-01A-21R-A115-07",50243876,28517
"TCGA-BH-A0BS-01A-11R-A12P-07",61714582,27517
"TCGA-BH-A0BT-01A-11R-A12P-07",54212880,29484
"TCGA-BH-A0BV-01A-11R-A00Z-07",51712703,28585
"TCGA-BH-A0BW-01A-11R-A115-07",54338928,30288
"TCGA-BH-A0BZ-01A-31R-A12P-07",67662115,29077
"TCGA-BH-A0C0-01A-21R-A056-07",44105115,28422
"TCGA-BH-A0C1-01B-11R-A12D-07",60384963,29365
"TCGA-BH-A0C3-01A-21R-A12P-07",49355376,29883
"TCGA-BH-A0C7-01B-11R-A115-07",76115079,30643
"TCGA-BH-A0DE-01A-11R-A115-07",53643641,29663
"TCGA-BH-A0DG-01A-21R-A12P-07",51523260,29939
"TCGA-BH-A0DH-01A-11R-A084-07",54315080,28385
"TCGA-BH-A0DI-01A-21R-A12P-07",54846906,29360
"TCGA-BH-A0DK-01A-21R-A056-07",51054207,29059
"TCGA-BH-A0DL-01A-11R-A115-07",71217273,29943
"TCGA-BH-A0DO-01B-11R-A12D-07",56082604,30121
"TCGA-BH-A0DP-01A-21R-A056-07",48135583,29438
"TCGA-BH-A0DQ-01A-11R-A084-07",52190114,29816
"TCGA-BH-A0DS-01A-11R-A056-07",46387791,28581
"TCGA-BH-A0DT-01A-21R-A12D-07",51323456,29675
"TCGA-BH-A0DV-01A-21R-A12P-07",75096706,27736
"TCGA-BH-A0DX-01A-11R-A115-07",58524176,29812
"TCGA-BH-A0DZ-01A-11R-A00Z-07",26004176,23477
"TCGA-BH-A0E0-01A-11R-A056-07",37416374,26641
"TCGA-BH-A0E1-01A-11R-A056-07",51247548,27703
"TCGA-BH-A0E2-01A-11R-A056-07",52575054,28945
"TCGA-BH-A0E6-01A-11R-A034-07",52065370,28489
"TCGA-BH-A0E7-01A-11R-A034-07",67972651,29308
"TCGA-BH-A0E9-01B-11R-A115-07",55729190,30964
"TCGA-BH-A0EA-01A-11R-A115-07",41091310,28954
"TCGA-BH-A0EB-01A-11R-A034-07",64791852,29371
"TCGA-BH-A0EE-01A-11R-A034-07",68469539,29309
"TCGA-BH-A0EI-01A-11R-A115-07",56759922,28978
"TCGA-BH-A0GY-01A-11R-A056-07",45802263,29071
"TCGA-BH-A0GZ-01A-11R-A056-07",49732484,29184
"TCGA-BH-A0H0-01A-11R-A056-07",73567831,29276
"TCGA-BH-A0H3-01A-11R-A12P-07",63525905,30463
"TCGA-BH-A0H5-01A-21R-A115-07",54228773,29870
"TCGA-BH-A0H6-01A-21R-A056-07",49650188,28834
"TCGA-BH-A0H7-01A-13R-A056-07",71273335,28743
"TCGA-BH-A0H9-01A-11R-A056-07",49539324,28083
"TCGA-BH-A0HA-01A-11R-A12P-07",49407559,28548
"TCGA-BH-A0HB-01A-11R-A056-07",46277723,27597
"TCGA-BH-A0HF-01A-11R-A056-07",47541200,27567
"TCGA-BH-A0HI-01A-11R-A084-07",56530501,28347
"TCGA-BH-A0HK-01A-11R-A056-07",46501416,27980
"TCGA-BH-A0HL-01A-11R-A10U-07",60637759,28861
"TCGA-BH-A0HN-01A-11R-A10U-07",41655657,27768
"TCGA-BH-A0HO-01A-11R-A034-07",77512616,28970
"TCGA-BH-A0HP-01A-12R-A084-07",65014848,30077
"TCGA-BH-A0HQ-01A-11R-A034-07",46414290,29232
"TCGA-BH-A0HU-01A-11R-A034-07",60601773,29316
"TCGA-BH-A0HW-01A-11R-A034-07",69338767,29168
"TCGA-BH-A0HX-01A-21R-A056-07",52713063,29355
"TCGA-BH-A0HY-01A-11R-A056-07",60293602,28625
"TCGA-BH-A0RX-01A-21R-A084-07",48493895,28580
"TCGA-BH-A0W3-01A-11R-A109-07",40129980,27925
"TCGA-BH-A0W4-01A-11R-A109-07",62100202,29823
"TCGA-BH-A0W5-01A-11R-A109-07",58606955,30304
"TCGA-BH-A0W7-01A-11R-A115-07",51065278,29701
"TCGA-BH-A0WA-01A-11R-A109-07",59025219,28668
"TCGA-BH-A18F-01A-11R-A12D-07",48049887,28625
"TCGA-BH-A18G-01A-11R-A12D-07",38199041,24297
"TCGA-BH-A18H-01A-11R-A12D-07",41745062,28852
"TCGA-BH-A18I-01A-11R-A12D-07",74865511,30622
"TCGA-BH-A18J-01A-11R-A12D-07",60114820,28843
"TCGA-BH-A18K-01A-11R-A12D-07",59596695,30315
"TCGA-BH-A18L-01A-32R-A12D-07",67391090,28332
"TCGA-BH-A18M-01A-11R-A12D-07",55413915,30078
"TCGA-BH-A18N-01A-11R-A12D-07",56835963,28940
"TCGA-BH-A18P-01A-11R-A12D-07",51246365,27914
"TCGA-BH-A18Q-01A-12R-A12D-07",47731684,30439
"TCGA-BH-A18R-01A-11R-A12D-07",70164584,30363
"TCGA-BH-A18S-01A-11R-A12D-07",58931746,28476
"TCGA-BH-A18T-01A-11R-A12D-07",67056266,28873
"TCGA-BH-A18U-01A-21R-A12D-07",60394504,29662
"TCGA-BH-A18V-01A-11R-A12D-07",61016855,29883
"TCGA-BH-A1EN-01A-11R-A13Q-07",67654411,27073
"TCGA-BH-A1EO-01A-11R-A137-07",36482624,26956
"TCGA-BH-A1ES-01A-11R-A137-07",23192047,27025
"TCGA-BH-A1ET-01A-11R-A137-07",92784822,30662
"TCGA-BH-A1EU-01A-11R-A137-07",98253293,31821
"TCGA-BH-A1EV-01A-11R-A137-07",56949903,29797
"TCGA-BH-A1EW-01A-11R-A137-07",53561883,29588
"TCGA-BH-A1EX-01A-11R-A13Q-07",86537408,30975
"TCGA-BH-A1EY-01A-11R-A13Q-07",42802716,29400
"TCGA-BH-A1F0-01A-11R-A137-07",95702670,31379
"TCGA-BH-A1F2-01A-31R-A13Q-07",73143149,29462
"TCGA-BH-A1F5-01A-12R-A13Q-07",61921372,29688
"TCGA-BH-A1F6-01A-11R-A13Q-07",42720545,28639
"TCGA-BH-A1F8-01A-11R-A13Q-07",75799270,29465
"TCGA-BH-A1FB-01A-11R-A13Q-07",70254311,31439
"TCGA-BH-A1FC-01A-11R-A13Q-07",71008081,28974
"TCGA-BH-A1FD-01A-11R-A13Q-07",70840762,29700
"TCGA-BH-A1FE-01A-11R-A13Q-07",76907884,30983
"TCGA-BH-A1FG-01A-11R-A13Q-07",63183876,28181
"TCGA-BH-A1FH-01A-12R-A13Q-07",70019968,30990
"TCGA-BH-A1FJ-01A-11R-A13Q-07",69036961,29577
"TCGA-BH-A1FL-01A-11R-A13Q-07",67507246,30248
"TCGA-BH-A1FM-01A-11R-A13Q-07",66498977,28302
"TCGA-BH-A1FN-01A-11R-A13Q-07",42724198,29420
"TCGA-BH-A1FR-01A-11R-A13Q-07",40232121,28591
"TCGA-BH-A1FU-01A-11R-A14D-07",48482633,29514
"TCGA-BH-A201-01A-11R-A14M-07",67341401,30720
"TCGA-BH-A202-01A-11R-A14M-07",86510388,30240
"TCGA-BH-A203-01A-12R-A169-07",62869225,30537
"TCGA-BH-A204-01A-11R-A157-07",94782964,29564
"TCGA-BH-A208-01A-11R-A157-07",63495275,28787
"TCGA-BH-A209-01A-11R-A157-07",72404672,30620
"TCGA-BH-A28O-01A-11R-A22K-07",55541771,30899
"TCGA-BH-A28Q-01A-11R-A16F-07",79623533,30572
"TCGA-BH-A2L8-01A-11R-A18M-07",55666412,29939
"TCGA-BH-A42T-01A-11R-A24H-07",64475506,29218
"TCGA-BH-A42U-01A-12R-A24H-07",65132305,29786
"TCGA-BH-A42V-01A-11R-A24H-07",67953950,30944
"TCGA-BH-A5IZ-01A-11R-A27Q-07",47280003,27807
"TCGA-BH-A5J0-01A-11R-A27Q-07",47448559,28289
"TCGA-BH-A6R8-01A-21R-A33J-07",56781371,29116
"TCGA-BH-A6R9-01A-21R-A32P-07",60416819,28971
"TCGA-BH-A8FY-01A-11R-A36F-07",37945725,28662
"TCGA-BH-A8FZ-01A-11R-A352-07",49139168,30703
"TCGA-BH-A8G0-01A-11R-A352-07",42893536,30462
"TCGA-BH-AB28-01A-31R-A41B-07",47224817,29939
"TCGA-C8-A12K-01A-21R-A115-07",65912224,29487
"TCGA-C8-A12L-01A-11R-A115-07",51549640,29035
"TCGA-C8-A12M-01A-11R-A115-07",40075320,26482
"TCGA-C8-A12N-01A-11R-A115-07",54174091,29501
"TCGA-C8-A12O-01A-11R-A115-07",62605191,29577
"TCGA-C8-A12P-01A-11R-A115-07",55590156,28175
"TCGA-C8-A12Q-01A-11R-A115-07",69563190,30185
"TCGA-C8-A12T-01A-11R-A115-07",52319283,27732
"TCGA-C8-A12U-01A-11R-A115-07",46531162,28074
"TCGA-C8-A12V-01A-11R-A115-07",50050491,29325
"TCGA-C8-A12W-01A-11R-A115-07",49230822,27966
"TCGA-C8-A12X-01A-11R-A115-07",28025696,26626
"TCGA-C8-A12Y-01A-11R-A12D-07",72766498,26665
"TCGA-C8-A12Z-01A-11R-A115-07",47768592,27611
"TCGA-C8-A130-01A-31R-A115-07",55934759,30186
"TCGA-C8-A131-01A-11R-A115-07",48119613,28502
"TCGA-C8-A132-01A-31R-A115-07",55159681,30440
"TCGA-C8-A133-01A-32R-A12D-07",49136749,24881
"TCGA-C8-A134-01A-11R-A115-07",90751118,30558
"TCGA-C8-A135-01A-11R-A115-07",49964144,28567
"TCGA-C8-A137-01A-11R-A115-07",40720516,24757
"TCGA-C8-A138-01A-11R-A115-07",47311507,29633
"TCGA-C8-A1HE-01A-11R-A13Q-07",75035770,30077
"TCGA-C8-A1HF-01A-11R-A137-07",73039987,29085
"TCGA-C8-A1HG-01A-11R-A137-07",28898264,26660
"TCGA-C8-A1HI-01A-11R-A137-07",82570571,30219
"TCGA-C8-A1HJ-01A-11R-A13Q-07",70009989,30495
"TCGA-C8-A1HK-01A-21R-A13Q-07",40652806,28128
"TCGA-C8-A1HL-01A-11R-A137-07",41293121,27632
"TCGA-C8-A1HM-01A-12R-A137-07",41661202,28738
"TCGA-C8-A1HN-01A-11R-A137-07",73951663,29513
"TCGA-C8-A1HO-01A-11R-A13Q-07",66227471,29456
"TCGA-C8-A26V-01A-11R-A16F-07",89470587,30140
"TCGA-C8-A26W-01A-11R-A16F-07",72742511,30988
"TCGA-C8-A26X-01A-31R-A16F-07",57971431,28643
"TCGA-C8-A26Y-01A-11R-A16F-07",69936376,31225
"TCGA-C8-A26Z-01A-11R-A16F-07",69063062,30002
"TCGA-C8-A273-01A-11R-A16F-07",70608885,29241
"TCGA-C8-A274-01A-11R-A16F-07",74232963,29789
"TCGA-C8-A275-01A-21R-A16F-07",72543032,29538
"TCGA-C8-A278-01A-11R-A169-07",70718023,29821
"TCGA-C8-A27A-01A-11R-A169-07",77422504,31033
"TCGA-C8-A27B-01A-11R-A169-07",78459670,29328
"TCGA-C8-A3M7-01A-12R-A21T-07",60292436,30299
"TCGA-C8-A3M8-01A-11R-A213-07",79641997,30366
"TCGA-C8-A8HP-01A-11R-A36F-07",37455011,29048
"TCGA-C8-A8HQ-01A-11R-A36F-07",62087796,31094
"TCGA-C8-A8HR-01A-11R-A36F-07",45758927,30174
"TCGA-D8-A13Y-01A-11R-A115-07",51987177,29758
"TCGA-D8-A13Z-01A-11R-A115-07",72874589,29926
"TCGA-D8-A140-01A-11R-A115-07",51194668,29519
"TCGA-D8-A141-01A-11R-A115-07",64142303,30317
"TCGA-D8-A142-01A-11R-A115-07",84223007,30386
"TCGA-D8-A143-01A-11R-A115-07",52145337,28006
"TCGA-D8-A145-01A-11R-A115-07",49373682,30320
"TCGA-D8-A146-01A-31R-A115-07",58970550,30767
"TCGA-D8-A147-01A-11R-A115-07",58262867,30330
"TCGA-D8-A1J8-01A-11R-A13Q-07",72582713,29694
"TCGA-D8-A1J9-01A-11R-A13Q-07",86107026,30235
"TCGA-D8-A1JA-01A-11R-A13Q-07",78688510,29324
"TCGA-D8-A1JB-01A-11R-A13Q-07",43340637,30257
"TCGA-D8-A1JC-01A-11R-A13Q-07",79550306,30887
"TCGA-D8-A1JD-01A-11R-A13Q-07",84617241,29821
"TCGA-D8-A1JE-01A-11R-A13Q-07",76032940,28998
"TCGA-D8-A1JF-01A-11R-A13Q-07",77965297,29610
"TCGA-D8-A1JG-01B-11R-A13Q-07",83829227,30347
"TCGA-D8-A1JH-01A-11R-A13Q-07",80592836,31217
"TCGA-D8-A1JI-01A-11R-A13Q-07",48299807,28296
"TCGA-D8-A1JJ-01A-31R-A14M-07",68966899,29874
"TCGA-D8-A1JK-01A-11R-A13Q-07",46255275,28917
"TCGA-D8-A1JL-01A-11R-A13Q-07",80804345,30571
"TCGA-D8-A1JM-01A-11R-A13Q-07",70117680,29002
"TCGA-D8-A1JN-01A-11R-A13Q-07",39692428,28433
"TCGA-D8-A1JP-01A-11R-A13Q-07",43009771,30070
"TCGA-D8-A1JS-01A-11R-A13Q-07",61394565,26973
"TCGA-D8-A1JT-01A-31R-A13Q-07",70637415,27819
"TCGA-D8-A1JU-01A-11R-A13Q-07",66334024,30072
"TCGA-D8-A1X5-01A-11R-A14D-07",49125659,28858
"TCGA-D8-A1X6-01A-11R-A14M-07",73855970,28679
"TCGA-D8-A1X7-01A-11R-A14M-07",70835123,29173
"TCGA-D8-A1X8-01A-11R-A14M-07",60416777,29724
"TCGA-D8-A1X9-01A-12R-A157-07",80833299,30125
"TCGA-D8-A1XA-01A-11R-A14D-07",50058835,29103
"TCGA-D8-A1XB-01A-11R-A14D-07",44707165,29323
"TCGA-D8-A1XC-01A-11R-A14D-07",46425373,27341
"TCGA-D8-A1XD-01A-11R-A14D-07",46146657,29087
"TCGA-D8-A1XF-01A-11R-A14D-07",56843588,28355
"TCGA-D8-A1XG-01A-11R-A14D-07",53481135,29374
"TCGA-D8-A1XJ-01A-11R-A14M-07",72654692,28595
"TCGA-D8-A1XK-01A-21R-A14M-07",71280617,29345
"TCGA-D8-A1XL-01A-11R-A14M-07",64164718,28831
"TCGA-D8-A1XM-01A-21R-A14M-07",75852287,30669
"TCGA-D8-A1XO-01A-11R-A14M-07",72440711,29744
"TCGA-D8-A1XQ-01A-11R-A14M-07",70017015,29114
"TCGA-D8-A1XR-01A-11R-A14M-07",78032601,30071
"TCGA-D8-A1XT-01A-11R-A14M-07",76888431,30075
"TCGA-D8-A1XU-01A-11R-A14M-07",88319674,30791
"TCGA-D8-A1XV-01A-11R-A14M-07",46513279,27367
"TCGA-D8-A1XW-01A-11R-A14M-07",70728622,30004
"TCGA-D8-A1XY-01A-11R-A14M-07",62584929,30101
"TCGA-D8-A1XZ-01A-11R-A14M-07",71829447,29648
"TCGA-D8-A1Y0-01A-11R-A14M-07",83059335,31125
"TCGA-D8-A1Y1-01A-21R-A14M-07",79063705,29369
"TCGA-D8-A1Y2-01A-11R-A157-07",67103648,29660
"TCGA-D8-A1Y3-01A-11R-A157-07",66619736,27668
"TCGA-D8-A27E-01A-11R-A16F-07",74712623,29377
"TCGA-D8-A27F-01A-11R-A16F-07",74987915,30390
"TCGA-D8-A27G-01A-11R-A16F-07",66635263,29883
"TCGA-D8-A27H-01A-11R-A16F-07",67117679,30539
"TCGA-D8-A27I-01A-11R-A16F-07",72160773,31317
"TCGA-D8-A27K-01A-11R-A16F-07",62611725,30740
"TCGA-D8-A27L-01A-11R-A16F-07",76264921,31835
"TCGA-D8-A27M-01A-11R-A16F-07",70348412,31023
"TCGA-D8-A27N-01A-11R-A16F-07",68073684,29922
"TCGA-D8-A27P-01A-11R-A16F-07",50763782,29796
"TCGA-D8-A27R-01A-11R-A16F-07",74373027,30380
"TCGA-D8-A27T-01A-11R-A16F-07",64584258,30082
"TCGA-D8-A27V-01A-12R-A17B-07",97231721,30709
"TCGA-D8-A27W-01A-11R-A16F-07",86310117,29883
"TCGA-D8-A3Z5-01A-41R-A24H-07",56630663,29293
"TCGA-D8-A3Z6-01A-11R-A239-07",61700761,29971
"TCGA-D8-A4Z1-01A-21R-A266-07",35618198,29905
"TCGA-D8-A73U-01A-11R-A33J-07",47976462,30556
"TCGA-D8-A73W-01A-22R-A352-07",48328330,29541
"TCGA-D8-A73X-01A-11R-A32P-07",55786244,30273
"TCGA-E2-A105-01A-11R-A10J-07",62079856,29820
"TCGA-E2-A106-01A-11R-A10J-07",57343237,28393
"TCGA-E2-A107-01A-11R-A10J-07",57198701,28608
"TCGA-E2-A108-01A-13R-A10J-07",48142669,29465
"TCGA-E2-A109-01A-11R-A10J-07",63888445,29931
"TCGA-E2-A10A-01A-21R-A115-07",59698716,29252
"TCGA-E2-A10B-01A-11R-A10J-07",69897016,29944
"TCGA-E2-A10C-01A-21R-A10J-07",46367956,29184
"TCGA-E2-A10E-01A-21R-A10J-07",66203778,30100
"TCGA-E2-A10F-01A-11R-A10J-07",56057929,29849
"TCGA-E2-A14N-01A-31R-A137-07",48513316,27837
"TCGA-E2-A14O-01A-31R-A115-07",57618193,27880
"TCGA-E2-A14P-01A-31R-A12D-07",52403052,28934
"TCGA-E2-A14Q-01A-11R-A12D-07",59475038,29940
"TCGA-E2-A14R-01A-11R-A115-07",48997528,28233
"TCGA-E2-A14S-01A-11R-A12D-07",66909698,29892
"TCGA-E2-A14T-01A-11R-A115-07",80255212,29821
"TCGA-E2-A14U-01A-11R-A22K-07",60895007,30537
"TCGA-E2-A14V-01A-11R-A12D-07",63097419,29769
"TCGA-E2-A14X-01A-11R-A115-07",91916732,30735
"TCGA-E2-A14Y-01A-21R-A12D-07",41946373,26604
"TCGA-E2-A14Z-01A-11R-A115-07",47476580,29276
"TCGA-E2-A150-01A-11R-A12D-07",51592956,27979
"TCGA-E2-A152-01A-11R-A12D-07",55093102,28525
"TCGA-E2-A153-01A-12R-A12D-07",41526451,27552
"TCGA-E2-A154-01A-11R-A115-07",40021807,27405
"TCGA-E2-A155-01A-11R-A12D-07",74948834,28912
"TCGA-E2-A156-01A-11R-A12D-07",24767387,26344
"TCGA-E2-A158-01A-11R-A12D-07",63066517,29326
"TCGA-E2-A159-01A-11R-A115-07",57854749,30121
"TCGA-E2-A15A-01A-11R-A12D-07",63580931,29668
"TCGA-E2-A15C-01A-31R-A12D-07",51330461,29917
"TCGA-E2-A15D-01A-11R-A115-07",57180802,30445
"TCGA-E2-A15E-01A-11R-A12D-07",39697631,29136
"TCGA-E2-A15F-01A-11R-A115-07",46838995,29536
"TCGA-E2-A15G-01A-11R-A12D-07",44771600,29259
"TCGA-E2-A15H-01A-11R-A12D-07",51403250,29637
"TCGA-E2-A15I-01A-21R-A137-07",55255555,30808
"TCGA-E2-A15J-01A-11R-A12P-07",59689974,28686
"TCGA-E2-A15K-01A-11R-A12P-07",48986607,29239
"TCGA-E2-A15L-01A-11R-A12D-07",64241047,29313
"TCGA-E2-A15M-01A-11R-A12D-07",100597064,31525
"TCGA-E2-A15O-01A-11R-A115-07",46473548,29613
"TCGA-E2-A15P-01A-11R-A115-07",75734090,30515
"TCGA-E2-A15R-01A-11R-A115-07",83630360,29718
"TCGA-E2-A15S-01A-11R-A115-07",72387991,30166
"TCGA-E2-A15T-01A-11R-A115-07",62110565,28957
"TCGA-E2-A1AZ-01A-11R-A12P-07",26349098,28814
"TCGA-E2-A1B0-01A-11R-A12P-07",114006899,29905
"TCGA-E2-A1B1-01A-21R-A12P-07",103718188,31788
"TCGA-E2-A1B4-01A-11R-A12P-07",74316535,28468
"TCGA-E2-A1B5-01A-21R-A12P-07",53552506,29170
"TCGA-E2-A1B6-01A-31R-A12P-07",91852502,30441
"TCGA-E2-A1BC-01A-11R-A12P-07",25604730,27616
"TCGA-E2-A1BD-01A-11R-A12P-07",81169571,30014
"TCGA-E2-A1IE-01A-11R-A13Q-07",79800587,29971
"TCGA-E2-A1IF-01A-11R-A144-07",52037310,29540
"TCGA-E2-A1IG-01A-11R-A144-07",52453823,28997
"TCGA-E2-A1IH-01A-11R-A13Q-07",67928807,29908
"TCGA-E2-A1II-01A-11R-A144-07",36078680,27734
"TCGA-E2-A1IJ-01A-11R-A144-07",34440975,29160
"TCGA-E2-A1IK-01A-11R-A144-07",37520356,27012
"TCGA-E2-A1IL-01A-11R-A14D-07",41472695,29445
"TCGA-E2-A1IN-01A-11R-A13Q-07",82267647,30163
"TCGA-E2-A1IO-01A-11R-A144-07",56564572,30108
"TCGA-E2-A1IU-01A-11R-A14D-07",45811787,29519
"TCGA-E2-A1L6-01A-11R-A13Q-07",63770599,30891
"TCGA-E2-A1L7-01A-11R-A144-07",41280787,29530
"TCGA-E2-A1L8-01A-11R-A13Q-07",67386027,30289
"TCGA-E2-A1L9-01A-11R-A13Q-07",77672380,30763
"TCGA-E2-A1LA-01A-11R-A144-07",50173250,29131
"TCGA-E2-A1LB-01A-11R-A144-07",50131646,27656
"TCGA-E2-A1LE-01A-12R-A19W-07",52406358,29305
"TCGA-E2-A1LG-01A-21R-A14M-07",72284812,29381
"TCGA-E2-A1LH-01A-11R-A14D-07",34626005,28609
